mmrrc_id	availability
70632	Currently Unavailable
70631	Currently Unavailable
70630	Currently Unavailable
70629	Currently Unavailable
70628	Currently Unavailable
70627	Currently Unavailable
70626	Currently Unavailable
70625	Currently Unavailable
70624	Currently Unavailable
70623	Currently Unavailable
70622	Currently Unavailable
70621	Currently Unavailable
70620	Currently Unavailable
70619	Currently Unavailable
70618	Currently Unavailable
70617	Currently Unavailable
70616	Currently Unavailable
70615	Currently Unavailable
70614	Currently Unavailable
70613	Currently Unavailable
70612	Currently Unavailable
70611	Currently Unavailable
70610	Currently Unavailable
70609	Currently Unavailable
70608	Currently Unavailable
70607	Currently Unavailable
70606	Currently Unavailable
70605	Currently Unavailable
70604	Currently Unavailable
70603	Currently Unavailable
70602	Currently Unavailable
70601	Currently Unavailable
70600	Currently Unavailable
70599	Currently Unavailable
70598	Currently Unavailable
70597	Currently Unavailable
70596	Currently Unavailable
70595	Currently Unavailable
70594	Currently Unavailable
70593	Currently Unavailable
70592	Currently Unavailable
70591	Currently Unavailable
70590	Currently Unavailable
70589	Currently Unavailable
70588	Currently Unavailable
70587	Currently Unavailable
70586	Currently Unavailable
70585	Currently Unavailable
70584	Currently Unavailable
70583	Currently Unavailable
70582	Currently Unavailable
70581	Currently Unavailable
70580	Currently Unavailable
70579	Currently Unavailable
70578	Currently Unavailable
70577	Currently Unavailable
70576	Currently Unavailable
70575	Currently Unavailable
70574	Currently Unavailable
70573	Currently Unavailable
70572	Currently Unavailable
70571	Currently Unavailable
70570	Currently Unavailable
70569	Currently Unavailable
70568	Currently Unavailable
70567	Currently Unavailable
70566	Currently Unavailable
70565	Currently Unavailable
70564	Currently Unavailable
70563	Currently Unavailable
70562	Currently Unavailable
70561	Currently Unavailable
70560	Currently Unavailable
70559	Currently Unavailable
70558	Currently Unavailable
70557	Currently Unavailable
70556	Currently Unavailable
70555	Currently Unavailable
70554	Currently Unavailable
70553	Currently Unavailable
70552	Currently Unavailable
70551	Currently Unavailable
70550	Currently Unavailable
70549	Currently Unavailable
70548	Currently Unavailable
70547	Currently Unavailable
70546	Currently Unavailable
70545	Currently Unavailable
70544	Currently Unavailable
70543	Currently Unavailable
70542	Currently Unavailable
70541	Currently Unavailable
70540	Currently Unavailable
70539	Currently Unavailable
70538	Currently Unavailable
70537	Currently Unavailable
70536	Currently Unavailable
70535	Currently Unavailable
70534	Currently Unavailable
70533	Currently Unavailable
70532	Currently Unavailable
70531	Currently Unavailable
70530	Currently Unavailable
70529	Currently Unavailable
70528	Currently Unavailable
70527	Currently Unavailable
70526	Currently Unavailable
70525	Currently Unavailable
70524	Currently Unavailable
70523	Currently Unavailable
70522	Currently Unavailable
70521	Currently Unavailable
70520	Currently Unavailable
70519	Currently Unavailable
70518	Currently Unavailable
70517	Currently Unavailable
70516	Currently Unavailable
70515	Currently Unavailable
70514	Currently Unavailable
70513	Currently Unavailable
70512	Currently Unavailable
70511	Currently Unavailable
70510	Currently Unavailable
70509	Currently Unavailable
70508	Currently Unavailable
70507	Currently Unavailable
70506	Currently Unavailable
70505	Currently Unavailable
70504	Currently Unavailable
70503	Currently Unavailable
70502	Currently Unavailable
70501	Currently Unavailable
70500	Currently Unavailable
70499	Currently Unavailable
70498	Currently Unavailable
70497	Currently Unavailable
70496	Currently Unavailable
70495	Currently Unavailable
70494	Currently Unavailable
70493	Currently Unavailable
70492	Currently Unavailable
70491	Currently Unavailable
70490	Currently Unavailable
70489	Currently Unavailable
70488	Currently Unavailable
70487	Currently Unavailable
70486	Currently Unavailable
70485	Currently Unavailable
70484	Currently Unavailable
70483	Currently Unavailable
70482	Currently Unavailable
70481	Currently Unavailable
70480	Currently Unavailable
70479	Currently Unavailable
70478	Currently Unavailable
70477	Currently Unavailable
70476	Currently Unavailable
70475	Currently Unavailable
70474	Currently Unavailable
70473	Currently Unavailable
70472	Currently Unavailable
70471	Currently Unavailable
70470	Currently Unavailable
70469	Currently Unavailable
70468	Currently Unavailable
70467	Currently Unavailable
70466	Currently Unavailable
70465	Currently Unavailable
70464	Currently Unavailable
70463	Currently Unavailable
70462	Currently Unavailable
70461	Currently Unavailable
70460	Currently Unavailable
70459	Currently Unavailable
70458	Currently Unavailable
70457	Currently Unavailable
70456	Currently Unavailable
70455	Currently Unavailable
70454	Currently Unavailable
70453	Currently Unavailable
70452	Currently Unavailable
70451	Currently Unavailable
70450	Currently Unavailable
70449	Currently Unavailable
70448	Currently Unavailable
70447	Currently Unavailable
70446	Currently Unavailable
70445	Currently Unavailable
70444	Currently Unavailable
70443	Currently Unavailable
70442	Currently Unavailable
70441	Currently Unavailable
70440	Currently Unavailable
70439	Currently Unavailable
70438	Currently Unavailable
70437	Currently Unavailable
70436	Currently Unavailable
70435	Currently Unavailable
70434	Currently Unavailable
70433	Currently Unavailable
70432	Currently Unavailable
70431	Currently Unavailable
70430	Currently Unavailable
70429	Currently Unavailable
70428	Currently Unavailable
70427	Currently Unavailable
70426	Currently Unavailable
70425	Currently Unavailable
