mmrrc_id,availability,sds_status,public_display
26310,ES cell line,Complete,Yes
9140,ES cell line,Complete,Yes
11063,ES cell line,Complete,Yes
47603,Cryo-archive,QC,Yes
64163,ES cell line,QC,Yes
32703,Cryo-archive,Complete,Yes
19453,ES cell line,Complete,Yes
1570,ES cell line,Complete,Yes
4288,ES cell line,Complete,Yes
53210,ES cell line,QC,Yes
60989,ES cell line,QC,Yes
33811,missing,Complete,No
47316,Cryo-archive,QC,Yes
9455,ES cell line,Complete,Yes
27917,ES cell line,Complete,Yes
39909,Cryo-archive,Complete,Yes
70065,Currently Unavailable,In Progress,No
26605,ES cell line,Complete,Yes
59308,ES cell line,QC,Yes
24638,ES cell line,Complete,Yes
51738,ES cell line,QC,Yes
53705,ES cell line,QC,Yes
1065,ES cell line,Complete,Yes
52817,ES cell line,QC,Yes
3058,ES cell line,Complete,Yes
64476,ES cell line,QC,Yes
32216,Cryo-archive,Complete,Yes
19146,ES cell line,Complete,Yes
48519,Cryo-archive,QC,Yes
63649,ES cell line,QC,Yes
4267,ES cell line,Complete,Yes
35029,ES cell line,Complete,Yes
61674,ES cell line,QC,Yes
37014,Cryo-archive,Complete,Yes
60966,ES cell line,QC,Yes
56507,ES cell line,QC,Yes
23407,ES cell line,Complete,Yes
14774,ES cell line,Complete,Yes
42114,Cryo-archive,Complete,Yes
69244,Currently Unavailable,In Progress,No
16749,ES cell line,Complete,Yes
40129,Cryo-archive,Complete,Yes
44869,Currently Unavailable,In Progress,No
26255,ES cell line,Complete,Yes
70435,Currently Unavailable,In Progress,No
24268,ES cell line,Complete,Yes
59758,ES cell line,QC,Yes
21590,ES cell line,Complete,Yes
46854,Cryo-archive,QC,Yes
47746,Cryo-archive,QC,Yes
11126,Cryo-archive,Complete,Yes
9005,ES cell line,Complete,Yes
40083,Cryo-archive,Complete,Yes
1435,ES cell line,Complete,Yes
35183,ES cell line,Complete,Yes
19516,ES cell line,Complete,Yes
32646,Cryo-archive,Complete,Yes
64026,ES cell line,QC,Yes
3408,ES cell line,Complete,Yes
51368,ES cell line,QC,Yes
33954,missing,Complete,No
54490,ES cell line,QC,Yes
31969,Hidden,In Progress,Yes
53355,ES cell line,QC,Yes
51692,ES cell line,QC,Yes
7918,ES cell line,Complete,Yes
5925,ES cell line,Complete,Yes
56157,ES cell line,QC,Yes
35479,ES cell line,Complete,Yes
4637,ES cell line,Complete,Yes
63219,ES cell line,QC,Yes
48149,Cryo-archive,QC,Yes
30381,Hidden,In Progress,No
37444,Cryo-archive,Complete,Yes
61224,ES cell line,QC,Yes
50980,Cryo-archive,Complete,Yes
69614,Cryo-archive,QC,Yes
25880,ES cell line,Complete,Yes
400,Cryo-archive,Complete,Yes
42544,Cryo-archive,Complete,Yes
14324,ES cell line,Complete,Yes
40579,Cryo-archive,Complete,Yes
16319,ES cell line,Complete,Yes
45281,Currently Unavailable,In Progress,No
23057,ES cell line,Complete,Yes
24792,ES cell line,Complete,Yes
68906,Currently Unavailable,In Progress,No
8244,ES cell line,Complete,Yes
70966,Currently Unavailable,In Progress,No
46507,Cryo-archive,QC,Yes
10367,ES cell line,Complete,Yes
25029,ES cell line,Complete,Yes
58519,ES cell line,QC,Yes
27014,ES cell line,Complete,Yes
1966,ES cell line,Complete,Yes
52114,ES cell line,QC,Yes
50129,Cryo-archive,QC,Yes
19845,ES cell line,Complete,Yes
18757,ES cell line,Complete,Yes
33407,missing,Complete,No
2649,ES cell line,Complete,Yes
65267,ES cell line,QC,Yes
36605,ES cell line,Complete,Yes
60065,ES cell line,QC,Yes
34638,Cryo-archive,Complete,Yes
62058,ES cell line,QC,Yes
5476,ES cell line,Complete,Yes
49308,Cryo-archive,QC,Yes
57316,ES cell line,QC,Yes
37917,Hidden,In Progress,No
42817,Cryo-archive,Complete,Yes
953,ES cell line,Complete,Yes
22216,ES cell line,Complete,Yes
41738,Cryo-archive,Complete,Yes
17158,Hidden,N/A,No
68455,Cryo-archive,Complete,Yes
43705,Cryo-archive,In Progress,Yes
15165,ES cell line,Complete,Yes
58149,ES cell line,QC,Yes
25479,ES cell line,Complete,Yes
20381,ES cell line,Complete,Yes
13818,Hidden,Complete,No
9906,ES cell line,Complete,Yes
71224,Cryo-archive,Complete,Yes
27444,ES cell line,Complete,Yes
40980,Cryo-archive,Complete,Yes
8614,ES cell line,Complete,Yes
41692,Cryo-archive,Complete,Yes
10737,ES cell line,Complete,Yes
46157,Cryo-archive,In Progress,Yes
65637,Cryo-archive,Complete,Yes
2219,ES cell line,Complete,Yes
18307,ES cell line,Complete,Yes
34792,Cryo-archive,Complete,Yes
66918,Cryo-archive,Complete,Yes
35880,ES cell line,Complete,Yes
52544,ES cell line,QC,Yes
50579,Cryo-archive,Complete,Yes
55281,ES cell line,QC,Yes
64925,ES cell line,QC,Yes
57746,ES cell line,QC,Yes
50083,Cryo-archive,QC,Yes
54869,ES cell line,QC,Yes
60435,ES cell line,QC,Yes
36255,Cryo-archive,Complete,Yes
49758,Cryo-archive,QC,Yes
5026,ES cell line,Complete,Yes
62408,ES cell line,QC,Yes
34268,Cryo-archive,Complete,Yes
31590,ES cell line,Complete,Yes
56854,ES cell line,QC,Yes
17508,ES cell line,Complete,Yes
41368,ES cell line,Complete,Yes
23954,ES cell line,Complete,Yes
44490,Currently Unavailable,In Progress,No
21969,ES cell line,Complete,Yes
15535,ES cell line,Complete,Yes
43355,Cryo-archive,Complete,Yes
68005,Cryo-archive,Complete,Yes
25183,ES cell line,Complete,Yes
22646,ES cell line,Complete,Yes
27690,ES cell line,Complete,Yes
22168,ES cell line,Complete,Yes
20155,ES cell line,Complete,Yes
69839,Breeder pairs,Complete,Yes
46383,Cryo-archive,QC,Yes
26982,ES cell line,Complete,Yes
41446,Cryo-archive,QC,Yes
17226,Cryo-archive,Complete,Yes
49076,Cryo-archive,QC,Yes
34546,ES cell line,Complete,Yes
62326,ES cell line,QC,Yes
5708,ES cell line,Complete,Yes
53882,ES cell line,QC,Yes
33283,missing,Complete,No
7735,ES cell line,Complete,Yes
28565,ES cell line,Complete,Yes
55055,ES cell line,QC,Yes
6827,ES cell line,Complete,Yes
52790,ES cell line,QC,Yes
57068,ES cell line,QC,Yes
50257,Cryo-archive,QC,Yes
57592,ES cell line,QC,Yes
67124,Cryo-archive,Complete,Yes
36081,Cryo-archive,Complete,Yes
33779,missing,Complete,No
2537,ES cell line,Complete,Yes
65119,ES cell line,QC,Yes
18429,ES cell line,Complete,Yes
43181,Cryo-archive,Complete,Yes
59975,ES cell line,QC,Yes
46679,Cryo-archive,QC,Yes
10019,ES cell line,Complete,Yes
39374,Cryo-archive,Complete,Yes
44644,Currently Unavailable,In Progress,No
12024,missing,In Progress,No
22492,ES cell line,Complete,Yes
45956,Currently Unavailable,In Progress,No
58667,ES cell line,QC,Yes
25357,ES cell line,Complete,Yes
17676,ES cell line,Complete,Yes
41016,Cryo-archive,Complete,Yes
8090,ES cell line,Complete,Yes
16964,ES cell line,Complete,Yes
22538,ES cell line,Complete,Yes
20505,ES cell line,Complete,Yes
14959,ES cell line,Complete,Yes
55405,ES cell line,QC,Yes
28135,ES cell line,Complete,Yes
61859,ES cell line,QC,Yes
63864,ES cell line,QC,Yes
57438,ES cell line,QC,Yes
5358,ES cell line,Complete,Yes
62776,ES cell line,QC,Yes
34116,missing,Complete,No
49426,Cryo-archive,QC,Yes
18583,ES cell line,Complete,Yes
7365,ES cell line,Complete,Yes
67574,Currently Unavailable,In Progress,No
31314,ES cell line,Complete,Yes
53928,ES cell line,QC,Yes
51915,ES cell line,QC,Yes
18079,ES cell line,Complete,Yes
65549,Cryo-archive,In Progress,Yes
2167,ES cell line,Complete,Yes
33329,missing,Complete,No
50607,Cryo-archive,Complete,Yes
38836,Cryo-archive,Complete,Yes
25707,ES cell line,Complete,Yes
69993,Currently Unavailable,In Progress,No
58237,ES cell line,QC,Yes
68681,Currently Unavailable,In Progress,No
24815,ES cell line,Complete,Yes
10449,Cryo-archive,Complete,Yes
46229,Cryo-archive,In Progress,Yes
12474,ES cell line,Complete,Yes
44214,Cryo-archive,Complete,Yes
39724,Cryo-archive,Complete,Yes
26828,ES cell line,Complete,Yes
21744,ES cell line,Complete,Yes
26081,ES cell line,Complete,Yes
23779,ES cell line,Complete,Yes
16437,ES cell line,Complete,Yes
40257,Cryo-archive,Complete,Yes
20856,ES cell line,Complete,Yes
47592,Cryo-archive,QC,Yes
32492,Cryo-archive,Complete,Yes
55956,ES cell line,QC,Yes
6124,ES cell line,Complete,Yes
63537,ES cell line,QC,Yes
4119,ES cell line,Complete,Yes
35357,ES cell line,Complete,Yes
48667,Cryo-archive,QC,Yes
49975,Cryo-archive,QC,Yes
53181,ES cell line,QC,Yes
56679,ES cell line,QC,Yes
54644,ES cell line,QC,Yes
29374,ES cell line,Complete,Yes
56383,ES cell line,QC,Yes
67827,Currently Unavailable,In Progress,No
36982,Cryo-archive,Complete,Yes
51446,ES cell line,QC,Yes
37690,Cryo-archive,Complete,Yes
19238,ES cell line,Complete,Yes
3326,ES cell line,Complete,Yes
64708,ES cell line,QC,Yes
32168,Cryo-archive,Complete,Yes
66735,Cryo-archive,QC,Yes
30155,Cryo-archive,QC,Yes
13635,ES cell line,Complete,Yes
45055,Currently Unavailable,In Progress,No
38565,Cryo-archive,Complete,Yes
42790,Cryo-archive,Complete,Yes
11608,Cryo-archive,Complete,Yes
47068,Cryo-archive,QC,Yes
24546,ES cell line,Complete,Yes
43882,Cryo-archive,In Progress,Yes
59076,ES cell line,QC,Yes
8839,ES cell line,Complete,Yes
12927,ES cell line,Complete,Yes
23283,ES cell line,Complete,Yes
40607,Cryo-archive,Complete,Yes
16067,ES cell line,Complete,Yes
9681,ES cell line,Complete,Yes
21314,ES cell line,Complete,Yes
43928,Cryo-archive,In Progress,Yes
41915,Cryo-archive,Complete,Yes
23329,ES cell line,Complete,Yes
8993,ES cell line,Complete,Yes
34815,Cryo-archive,Complete,Yes
56229,ES cell line,QC,Yes
54214,ES cell line,QC,Yes
36828,ES cell line,Complete,Yes
19392,ES cell line,Complete,Yes
28836,ES cell line,Complete,Yes
6574,ES cell line,Complete,Yes
48237,Cryo-archive,QC,Yes
35707,ES cell line,Complete,Yes
4549,ES cell line,Complete,Yes
63167,ES cell line,QC,Yes
32538,Cryo-archive,Complete,Yes
64358,ES cell line,QC,Yes
3776,ES cell line,Complete,Yes
19668,ES cell line,Complete,Yes
66365,Hybridoma cell line,Complete,Yes
51016,Cryo-archive,Complete,Yes
2864,ES cell line,Complete,Yes
59426,ES cell line,QC,Yes
24116,ES cell line,Complete,Yes
38135,Hidden,In Progress,No
45405,Currently Unavailable,In Progress,No
13265,ES cell line,Complete,Yes
284,Cryo-archive,Complete,Yes
69090,Currently Unavailable,In Progress,No
47438,Cryo-archive,QC,Yes
11258,ES cell line,Complete,Yes
51503,ES cell line,QC,Yes
67962,Cryo-archive,Needs Update,Yes
66670,Cryo-archive,Complete,Yes
63188,ES cell line,QC,Yes
3263,ES cell line,Complete,Yes
791,ES cell line,Complete,Yes
69585,Cryo-archive,QC,Yes
38420,Cryo-archive,Complete,Yes
45110,Currently Unavailable,In Progress,No
13770,Hidden,Complete,No
16088,ES cell line,Complete,Yes
12862,ES cell line,Complete,Yes
59133,ES cell line,QC,Yes
24403,ES cell line,Complete,Yes
21601,ES cell line,Complete,Yes
20913,ES cell line,Complete,Yes
40312,Cryo-archive,Complete,Yes
16572,ES cell line,Complete,Yes
9394,Hidden,Complete,No
48722,Cryo-archive,QC,Yes
35212,ES cell line,Complete,Yes
63472,ES cell line,QC,Yes
3799,ES cell line,Complete,Yes
